ChCode,       Amount OB       ,        Principal Amount Due        
01PAFL2606-100," 963,423.57 "," 35,638.31 "
01PAFL2606-103," 24,367.90 "," 7,706.82 "
01PAFL2606-104," 1,880,154.67 "," 74,460.25 "
01PAFL2606-105," 1,008,145.78 "," 32,098.42 "
01PAFL2606-107," 761,039.53 "," 38,208.49 "
01PAFL2606-112," 1,012,113.69 "," 34,167.14 "
01PAFL2606-113," 1,568,691.02 "," 81,344.75 "
01PAFL2606-115," 1,001,179.27 "," 33,403.67 "
01PAFL2606-117," 419,849.85 "," 14,728.12 "
01PAFL2606-118," 397,845.47 "," 15,407.48 "
01PAFL2606-120," 950,367.26 "," 29,287.99 "
01PAFL2606-122," 960,885.22 "," 27,010.20 "
01PAFL2606-123," 1,883,000.00 "," 65,154.09 "
01PAFL2606-124," 789,899.34 "," 27,575.56 "
01PAFL2606-127," 945,559.09 "," 34,103.97 "
01PAFL2606-128," 440,924.68 "," 14,433.90 "
01PAFL2606-129," 275,182.40 "," 9,578.58 "
01PAFL2606-13," 849,990.17 "," 31,884.81 "
01PAFL2606-134," 1,800,567.67 "," 57,246.60 "
01PAFL2606-135," 951,402.72 "," 34,397.53 "
01PAFL2606-137," 247,175.05 "," 24,888.38 "
01PAFL2606-138," 1,175,314.85 "," 48,080.62 "
01PAFL2606-139," 374,894.71 "," 14,399.35 "
01PAFL2606-14," 1,005,352.72 "," 27,415.93 "
01PAFL2606-140," 977,861.99 "," 26,696.25 "
01PAFL2606-141," 2,423,966.10 "," 149,369.75 "
01PAFL2606-142," 372,391.76 "," 16,703.39 "
01PAFL2606-143," 1,759,253.51 "," 82,298.75 "
01PAFL2606-144," 596,947.85 "," 48,797.55 "
01PAFL2606-147," 3,153,066.68 "," 97,674.09 "
01PAFL2606-148," 989,777.06 "," 29,556.44 "
01PAFL2606-150," 1,375,083.35 "," 68,704.22 "
01PAFL2606-156," 913,766.27 "," 31,202.64 "
01PAFL2606-157," 402,910.73 "," 15,575.65 "
01PAFL2606-158," 789,397.65 "," 31,313.51 "
01PAFL2606-159," 1,114,988.60 "," 39,951.93 "
01PAFL2606-16," 954,181.99 "," 32,915.20 "
01PAFL2606-161," 965,377.80 "," 26,393.38 "
01PAFL2606-162," 1,935,711.58 "," 64,670.71 "
01PAFL2606-163," 1,881,213.34 "," 62,700.90 "
01PAFL2606-164," 1,034,698.40 "," 38,106.48 "
01PAFL2606-166," 476,531.51 "," 55,077.45 "
01PAFL2606-167," 1,012,483.48 "," 30,553.87 "
01PAFL2606-170," 1,011,129.43 "," 34,136.72 "
01PAFL2606-171," 1,742,049.37 "," 59,896.92 "
01PAFL2606-173," 1,005,115.26 "," 33,133.02 "
01PAFL2606-176," 616,563.98 "," 32,146.70 "
01PAFL2606-179," 605,630.74 "," 30,572.82 "
01PAFL2606-181," 567,113.73 "," 24,645.24 "
01PAFL2606-182," 802,414.80 "," 52,803.58 "
01PAFL2606-184," 1,800,817.33 "," 48,112.12 "
01PAFL2606-186," 44,631.67 "," 25,836.49 "
01PAFL2606-188," 1,015,035.98 "," 28,777.78 "
01PAFL2606-194," 402,541.24 "," 27,668.76 "
01PAFL2606-199," 1,502,796.40 "," 69,595.80 "
01PAFL2606-2," 1,015,035.98 "," 34,046.11 "
01PAFL2606-20," 1,001,240.24 "," 27,085.72 "
01PAFL2606-202," 940,369.36 "," 38,950.55 "
01PAFL2606-203," 1,014,662.08 "," 28,481.46 "
01PAFL2606-207," 969,232.38 "," 45,118.50 "
01PAFL2606-208," 1,008,145.78 "," 30,996.23 "
01PAFL2606-210," 809,892.12 "," 28,043.95 "
01PAFL2606-215," 803,354.83 "," 32,512.60 "
01PAFL2606-220," 654,210.62 "," 42,271.65 "
01PAFL2606-221," 3,279,381.59 "," 111,137.55 "
01PAFL2606-222," 1,765,003.20 "," 53,402.81 "
01PAFL2606-223," 1,805,340.62 "," 60,610.26 "
01PAFL2606-226," 240,714.19 "," 20,610.56 "
01PAFL2606-231," 1,013,000.38 "," 31,090.76 "
01PAFL2606-234," 330,239.97 "," 11,560.48 "
01PAFL2606-235," 846,495.86 "," 44,927.23 "
01PAFL2606-236," 859,371.47 "," 27,440.45 "
01PAFL2606-240," 1,129,673.57 "," 30,129.57 "
01PAFL2606-243," 321,986.46 "," 14,661.41 "
01PAFL2606-244," 1,564,591.78 "," 53,943.18 "
01PAFL2606-245," 132,573.50 "," 9,412.28 "
01PAFL2606-250," 668,230.51 "," 29,668.28 "
01PAFL2606-253," 949,571.54 "," 27,877.58 "
01PAFL2606-259," 952,457.73 "," 29,099.05 "
01PAFL2606-261," 1,133,408.79 "," 37,751.84 "
01PAFL2606-264," 827,529.21 "," 27,967.18 "
01PAFL2606-267," 1,034,360.00 "," 35,481.60 "
01PAFL2606-268," 418,796.23 "," 35,681.04 "
01PAFL2606-270," 1,001,019.70 "," 35,973.83 "
01PAFL2606-273," 1,866,319.23 "," 73,506.93 "
01PAFL2606-274," 910,739.55 "," 30,939.29 "
01PAFL2606-276," 1,009,145.50 "," 32,177.20 "
01PAFL2606-277," 971,366.95 "," 28,785.68 "
01PAFL2606-278," 358,844.49 "," 13,811.96 "
01PAFL2606-282," 1,012,113.69 "," 31,765.28 "
01PAFL2606-283," 1,108,112.29 "," 49,169.52 "
01PAFL2606-284," 1,471,039.09 "," 59,129.10 "
01PAFL2606-286," 590,132.84 "," 16,641.35 "
01PAFL2606-288," 934,998.40 "," 31,996.95 "
01PAFL2606-291," 951,277.93 "," 25,913.64 "
01PAFL2606-292," 2,529,869.24 "," 89,619.12 "
01PAFL2606-293," 1,438,517.18 "," 48,797.26 "
01PAFL2606-294," 860,993.56 "," 32,078.34 "
01PAFL2606-30," 1,466,391.00 "," 51,694.61 "
01PAFL2606-300," 432,294.13 "," 68,866.31 "
01PAFL2606-301," 1,157,729.98 "," 97,549.03 "
01PAFL2606-302," 1,012,113.69 "," 34,002.07 "
01PAFL2606-303," 1,640,826.18 "," 45,100.71 "
01PAFL2606-308," 846,786.52 "," 25,725.47 "
01PAFL2606-311," 257,018.65 "," 12,557.15 "
01PAFL2606-312," 1,065,528.54 "," 39,364.88 "
01PAFL2606-313," 1,096,760.70 "," 32,928.03 "
01PAFL2606-314," 1,865,767.96 "," 50,289.86 "
01PAFL2606-315," 967,764.65 "," 31,665.84 "
01PAFL2606-316," 1,806,556.26 "," 60,518.33 "
01PAFL2606-317," 1,012,113.69 "," 33,953.87 "
01PAFL2606-319," 1,870,708.57 "," 50,132.02 "
01PAFL2606-326," 384,758.40 "," 14,633.77 "
01PAFL2606-331," 988,385.11 "," 25,059.91 "
01PAFL2606-335," 949,564.72 "," 28,788.44 "
01PAFL2606-34," 171,309.88 "," 56,491.90 "
01PAFL2606-340," 279,058.89 "," 47,785.92 "
01PAFL2606-344," 1,683,151.67 "," 62,693.24 "
01PAFL2606-345," 1,854,154.40 "," 56,173.98 "
01PAFL2606-38," 1,015,035.98 "," 34,045.86 "
01PAFL2606-41," 2,345,126.50 "," 70,525.45 "
01PAFL2606-42," 1,861,570.54 "," 53,390.68 "
01PAFL2606-46," 756,793.87 "," 43,243.51 "
01PAFL2606-51," 1,603,749.75 "," 44,452.17 "
01PAFL2606-52," 690,862.91 "," 33,660.66 "
01PAFL2606-55," 1,012,113.69 "," 33,773.00 "
01PAFL2606-57," 1,953,599.09 "," 65,372.49 "
01PAFL2606-59," 3,131,450.95 "," 95,770.58 "
01PAFL2606-6," 1,133,446.67 "," 34,689.60 "
01PAFL2606-61," 1,050,790.87 "," 37,416.73 "
01PAFL2606-63," 1,711,653.74 "," 61,975.53 "
01PAFL2606-65," 851,426.72 "," 28,290.32 "
01PAFL2606-68," 735,152.20 "," 31,466.80 "
01PAFL2606-73," 1,526,399.36 "," 61,581.68 "
01PAFL2606-76," 948,516.31 "," 34,116.13 "
01PAFL2606-77," 255,271.57 "," 25,413.47 "
01PAFL2606-78," 1,879,043.91 "," 73,799.70 "
01PAFL2606-82," 29,617.63 "," 10,657.49 "
01PAFL2606-85," 885,837.29 "," 43,962.80 "
01PAFL2606-86," 1,005,970.36 "," 36,421.25 "
01PAFL2606-89," 585,908.08 "," 18,162.80 "
01PAFL2606-91," 1,003,848.40 "," 43,596.96 "
01PAFL2606-93," 1,874,215.00 "," 59,023.42 "
01PAFL2606-95," 2,193,556.38 "," 62,433.58 "
01PAFL2606-97," 575,288.99 "," 19,430.91 "
01PAFL2606-98," 414,282.42 "," 15,193.35 "
01PAFL2607-10," 990,599.64 "," 41,305.33 "
01PAFL2607-100," 1,383,692.95 "," 63,267.32 "
01PAFL2607-102," 1,802,207.99 "," 50,227.68 "
01PAFL2607-109," 1,226,564.76 "," 54,998.83 "
01PAFL2607-11," 1,892,607.23 "," 63,615.95 "
01PAFL2607-112," 137,009.43 "," 80,319.82 "
01PAFL2607-114," 1,014,066.94 "," 34,045.86 "
01PAFL2607-116," 566,434.37 "," 25,892.07 "
01PAFL2607-117," 1,661,458.27 "," 57,581.85 "
01PAFL2607-118," 1,026,014.96 "," 34,915.02 "
01PAFL2607-12," 291,881.47 "," 25,507.72 "
01PAFL2607-121," 1,020,316.02 "," 35,930.58 "
01PAFL2607-123," 416,223.37 "," 19,643.17 "
01PAFL2607-124," 976,422.13 "," 33,056.12 "
01PAFL2607-127," 1,007,140.85 "," 29,131.81 "
01PAFL2607-129," 438,040.42 "," 21,464.25 "
01PAFL2607-130," 669,592.33 "," 37,554.37 "
01PAFL2607-131," 873,347.52 "," 24,048.49 "
01PAFL2607-134," 1,835,868.23 "," 85,287.34 "
01PAFL2607-135," 945,232.68 "," 43,566.28 "
01PAFL2607-136," 407,055.03 "," 12,957.98 "
01PAFL2607-137," 427,288.12 "," 25,653.99 "
01PAFL2607-138," 704,617.01 "," 27,926.92 "
01PAFL2607-139," 945,143.81 "," 39,668.60 "
01PAFL2607-142," 989,443.68 "," 43,659.33 "
01PAFL2607-143," 870,020.04 "," 29,841.04 "
01PAFL2607-146," 2,070,028.73 "," 69,321.29 "
01PAFL2607-15," 554,845.59 "," 23,372.77 "
01PAFL2607-152," 1,425,095.46 "," 39,741.47 "
01PAFL2607-153," 1,065,697.65 "," 39,226.15 "
01PAFL2607-154," 275,519.59 "," 10,144.49 "
01PAFL2607-157," 1,005,115.26 "," 29,672.22 "
01PAFL2607-159," 1,012,113.69 "," 34,196.00 "
01PAFL2607-16," 1,840,164.50 "," 59,422.14 "
01PAFL2607-160," 971,366.95 "," 33,019.09 "
01PAFL2607-161," 940,815.85 "," 26,838.13 "
01PAFL2607-164," 936,049.11 "," 32,374.55 "
01PAFL2607-166," 1,866,369.60 "," 58,709.96 "
01PAFL2607-170," 1,448,962.91 "," 68,406.03 "
01PAFL2607-171," 1,105,685.53 "," 37,733.39 "
01PAFL2607-172," 909,263.81 "," 30,865.03 "
01PAFL2607-175," 950,265.92 "," 36,022.35 "
01PAFL2607-177," 976,002.37 "," 40,122.96 "
01PAFL2607-178," 186,842.95 "," 9,072.06 "
01PAFL2607-180," 172,604.06 "," 6,074.09 "
01PAFL2607-181," 143,291.93 "," 4,996.72 "
01PAFL2607-182," 82,955.74 "," 3,810.00 "
01PAFL2607-183," 1,853,686.78 "," 58,388.15 "
01PAFL2607-184," 419,253.13 "," 14,904.11 "
01PAFL2607-187," 208,729.08 "," 8,768.45 "
01PAFL2607-19," 995,684.35 "," 37,399.46 "
01PAFL2607-190," 859,604.57 "," 33,588.52 "
01PAFL2607-194," 1,324,903.81 "," 73,840.94 "
01PAFL2607-195," 1,127,770.67 "," 48,049.34 "
01PAFL2607-196," 680,542.30 "," 36,504.20 "
01PAFL2607-2," 1,865,062.74 "," 51,549.61 "
01PAFL2607-201," 902,575.64 "," 31,812.10 "
01PAFL2607-202," 845,110.13 "," 30,643.63 "
01PAFL2607-206," 1,012,113.69 "," 33,895.28 "
01PAFL2607-207," 900,735.26 "," 31,125.28 "
01PAFL2607-209," 238,422.25 "," 20,520.20 "
01PAFL2607-21," 186,148.24 "," 5,795.86 "
01PAFL2607-210," 987,082.59 "," 22,122.55 "
